send;queue;id_1;id_2;rec
1586860755936;19;0;2;1586860595.42
1586861160036;19;0;2;1586860598.83
1586861554367;19;0;2;1586860602.22
1586861302316;19;0;2;1586860604.99
1586861491867;17;0;2;1586860608.6
1586860867633;19;0;2;1586860611.58
1586861007310;19;0;2;1586860614.56
1586860682781;19;0;2;1586860617.42
1586860732725;19;0;2;1586860620.14
1586860938551;18;0;2;1586860623.76
1586861271912;19;0;2;1586860626.7
1586861542016;18;0;2;1586860629.98
1586861608648;19;0;2;1586860633.04
1586860694506;19;0;2;1586860636.15
1586860732839;18;0;2;1586860639.54
1586860830812;19;0;2;1586860642.29
1586860706261;19;0;2;1586860645.12
1586861204271;19;0;2;1586860647.71
1586861125777;19;0;2;1586860650.63
1586860910233;18;0;2;1586860653.78
1586860910193;18;0;2;1586860656.44
1586861100916;19;0;2;1586860659.62
1586861312092;19;0;2;1586860662.86
1586861468817;18;0;2;1586860666.06
1586860755111;17;0;2;1586860669.66
1586861409556;19;0;2;1586860671.86
1586860998669;19;0;2;1586860674.56
1586861244799;19;0;2;1586860677.73
1586860775516;19;0;2;1586860680.38
1586860919562;18;0;2;1586860683.9
1586860810424;19;0;2;1586860686.37
1586861207935;19;0;2;1586860688.8
1586861181453;19;0;2;1586860691.86
1586861181095;19;0;3;1586860691.88
1586861181930;19;0;4;1586860691.9
1586861264364;19;0;2;1586860694.61
1586861263786;19;0;3;1586860694.63
1586861264717;19;0;4;1586860694.66
1586861483136;18;0;3;1586860697.88
1586861484538;18;0;2;1586860698.2
1586861485347;18;0;4;1586860698.22
1586860834931;19;0;2;1586860701.19
1586860834510;18;0;3;1586860701.21
1586860835239;19;0;4;1586860701.23
1586860960646;18;0;2;1586860704.32
1586860959900;19;0;3;1586860704.35
1586860961148;17;0;4;1586860704.37
1586861254971;19;0;2;1586860707.64
1586861253920;19;0;3;1586860707.68
1586861254568;19;0;4;1586860707.7
1586861636517;19;0;2;1586860711.04
1586861636885;19;0;3;1586860711.06
1586861635918;19;0;4;1586860711.08
1586860874522;18;0;3;1586860714.33
1586860873536;17;0;2;1586860714.6
1586860872210;18;0;4;1586860714.63
1586861087631;19;0;2;1586860717.5
1586861087950;19;0;3;1586860717.52
1586861087241;19;0;4;1586860717.54
1586860769736;19;0;2;1586860720.19
1586860770061;19;0;3;1586860720.2
1586860769374;19;0;4;1586860720.22
1586861316906;19;0;2;1586860722.76
1586861317379;19;0;3;1586860722.78
1586861316286;19;0;4;1586860722.8
1586861492372;19;0;2;1586860725.93
1586861492738;19;0;3;1586860725.95
1586861491937;19;0;4;1586860725.97
1586861375879;18;0;3;1586860728.81
1586861374902;18;0;2;1586860729.11
1586861374279;18;0;4;1586860729.13
1586860972803;19;0;2;1586860731.35
1586860972987;19;0;3;1586860731.37
1586860972657;19;0;4;1586860731.39
