rec;send;queue;id_1;id_2;packet_id
1587281737369;1587281736817;19;0;5;17
1587281737445;1587281736816;18;0;2;170
1587281737555;1587281736818;19;0;3;23
1587281737680;1587281736816;5;0;10;6
1587281737733;1587281736819;19;0;9;8
1587281737887;1587281726096;18;0;6;2
1587281738208;1587281737753;19;0;5;18
1587281738247;1587281737753;18;0;2;171
1587281738320;1587281737752;19;0;3;24
1587281738434;1587281737753;5;0;10;7
1587281738506;1587281737752;18;0;9;9
1587281739063;1587281738522;19;0;5;19
1587281739125;1587281738522;18;0;2;172
1587281739178;1587281738522;18;0;3;25
1587281739274;1587281738521;5;0;10;8
1587281739345;1587281738522;18;0;9;10
1587281739898;1587281739316;19;0;5;20
1587281739991;1587281739316;18;0;2;173
1587281740197;1587281739317;5;0;10;9
1587281740269;1587281740238;18;0;9;12
1587281740409;1587281738522;6;0;6;16
1587281740859;1587281740237;19;0;5;21
1587281740939;1587281740237;18;0;2;174
1587281741000;1587281740238;17;0;3;27
1587281741122;1587281740236;5;0;10;10
1587281741197;1587281741161;18;0;9;13
1587281741727;1587281741162;19;0;5;22
1587281741808;1587281741162;18;0;2;175
1587281741881;1587281741161;17;0;3;28
1587281742028;1587281741162;5;0;10;11
1587281742116;1587281742063;18;0;9;14
1587281742676;1587281742062;19;0;5;23
1587281742738;1587281742061;18;0;2;176
1587281742822;1587281742062;17;0;3;29
1587281742917;1587281742061;5;0;10;12
1587281742998;1587281742938;18;0;9;15
1587281743637;1587281742939;19;0;5;24
1587281743723;1587281742939;18;0;2;177
1587281743790;1587281742938;17;0;3;30
1587281743910;1587281742939;5;0;10;13
1587281743973;1587281743927;18;0;9;16
1587281744531;1587281743927;19;0;5;25
1587281744616;1587281743927;18;0;2;178
1587281744696;1587281743927;17;0;3;31
1587281744819;1587281743926;5;0;10;14
1587281744894;1587281744831;18;0;9;17
1587281745484;1587281744831;19;0;5;26
1587281745548;1587281744832;18;0;2;179
1587281745631;1587281744831;17;0;3;32
1587281745753;1587281744832;5;0;10;15
1587281745828;1587281745724;18;0;9;18
1587281746424;1587281745723;19;0;5;27
1587281746480;1587281745723;18;0;2;180
1587281746572;1587281745724;17;0;3;33
1587281746704;1587281746674;4;0;10;17
1587281746774;1587281746674;18;0;9;19
1587281747371;1587281746675;19;0;5;28
1587281747427;1587281746675;18;0;2;181
1587281747494;1587281746674;17;0;3;34
1587281747623;1587281747585;4;0;10;18
1587281747702;1587281747584;18;0;9;20
1587281748278;1587281747582;19;0;5;29
1587281748345;1587281747581;18;0;2;182
1587281748439;1587281747583;17;0;3;35
1587281748563;1587281748517;4;0;10;19
1587281748645;1587281748517;18;0;9;21
1587281749101;1587281748518;19;0;5;30
1587281749178;1587281748518;18;0;2;183
1587281749268;1587281748518;17;0;3;36
1587281749368;1587281749328;4;0;10;20
1587281749423;1587281749328;18;0;9;22
1587281749982;1587281749327;19;0;5;31
1587281750045;1587281749327;18;0;2;184
1587281750109;1587281749328;17;0;3;37
1587281750242;1587281750179;3;0;10;21
1587281750327;1587281750179;18;0;9;23
1587281750908;1587281750180;19;0;5;32
1587281750984;1587281750181;18;0;2;185
1587281751072;1587281750180;17;0;3;38
1587281751178;1587281751133;3;0;10;22
1587281751261;1587281751133;18;0;9;24
1587281751803;1587281751133;19;0;5;33
1587281751873;1587281751132;18;0;2;186
1587281751972;1587281751133;17;0;3;39
1587281752094;1587281752033;3;0;10;23
1587281752172;1587281752033;17;0;9;25
1587281752684;1587281752033;19;0;5;34
1587281752773;1587281752034;18;0;2;187
1587281752859;1587281752033;17;0;3;40
1587281752990;1587281752909;3;0;10;24
1587281753069;1587281752908;17;0;9;26
1587281753652;1587281752908;19;0;5;35
1587281753724;1587281752907;18;0;2;188
1587281753812;1587281752908;17;0;3;41
1587281753932;1587281753858;3;0;10;25
1587281754010;1587281753858;17;0;9;27
1587281754560;1587281753859;18;0;5;36
1587281754640;1587281753859;18;0;2;189
1587281754698;1587281753858;17;0;3;42
1587281754837;1587281754737;3;0;10;26
1587281754917;1587281754736;17;0;9;28
1587281755505;1587281754736;18;0;5;37
1587281755548;1587281754736;18;0;2;190
1587281755630;1587281754736;17;0;3;43
1587281755752;1587281755658;3;0;10;27
1587281755824;1587281755659;17;0;9;29
1587281756409;1587281755659;18;0;5;38
1587281756492;1587281755659;18;0;2;191
1587281756600;1587281755659;17;0;3;44
1587281756718;1587281756627;3;0;10;28
1587281756790;1587281756626;17;0;9;30
1587281757397;1587281756625;18;0;5;39
1587281757474;1587281756625;18;0;2;192
1587281757572;1587281756626;17;0;3;45
1587281757710;1587281757577;3;0;10;29
1587281757777;1587281757578;17;0;9;31
1587281758360;1587281757579;18;0;5;40
1587281758436;1587281757579;18;0;2;193
1587281758525;1587281758500;17;0;2;194
1587281758661;1587281758500;3;0;10;30
1587281758736;1587281758499;17;0;9;32
1587281759246;1587281758498;18;0;5;41
1587281759304;1587281758499;17;0;3;47
1587281759411;1587281759370;17;0;2;195
1587281759554;1587281759371;3;0;10;31
1587281759614;1587281759371;17;0;9;33
1587281760217;1587281759372;18;0;5;42
1587281760278;1587281759371;17;0;3;48
1587281760344;1587281760312;17;0;2;196
1587281760469;1587281760312;3;0;10;32
