rec;send;queue;id_1;id_2
1586866553267;1586866553210;19;0;3
1586866553335;1586866553211;19;0;2
1586866554059;1586866553211;19;0;4
1586866554297;1586866553209;18;0;5
1586866561629;1586866561528;19;0;3
1586866561676;1586866561529;10;0;6
1586866561720;1586866561528;19;0;2
1586866561757;1586866561527;19;0;5
1586866562361;1586866561528;19;0;4
1586866569814;1586866569687;19;0;3
1586866569857;1586866569689;10;0;6
1586866569892;1586866569688;18;0;2
1586866569920;1586866569687;19;0;5
1586866570575;1586866569689;19;0;4
1586866577919;1586866577452;9;0;6
1586866578324;1586866577460;18;0;4
1586866578498;1586866577453;18;0;3
1586866578576;1586866577459;18;0;2
1586866578600;1586866577457;18;0;5
1586866585452;1586866585384;19;0;4
1586866585611;1586866585385;10;0;6
1586866585648;1586866585384;19;0;2
1586866585680;1586866585382;19;0;3
1586866585712;1586866585382;19;0;3
1586866586569;1586866585384;19;0;5
1586866593935;1586866593830;19;0;4
1586866594106;1586866593833;19;0;3
1586866594161;1586866593830;10;0;6
1586866594211;1586866593831;18;0;2
1586866594237;1586866593831;19;0;5
1586866594302;1586866593830;10;0;6
1586866601370;1586866601286;19;0;4
1586866601465;1586866601287;18;0;3
1586866601503;1586866601286;10;0;6
1586866601548;1586866601286;18;0;2
1586866601580;1586866601287;19;0;5
1586866602080;1586866601287;18;0;3
1586866608978;1586866608814;19;0;4
1586866609149;1586866608815;19;0;3
1586866609208;1586866608813;10;0;6
1586866609252;1586866608814;19;0;2
1586866609306;1586866608814;18;0;5
1586866616658;1586866616027;8;0;6
1586866617351;1586866616027;18;0;4
1586866617613;1586866616028;18;0;2
1586866617654;1586866616030;18;0;5
1586866618440;1586866616032;17;0;3
1586866624861;1586866624704;19;0;4
1586866625014;1586866624705;19;0;3
1586866625065;1586866624704;8;0;6
1586866625108;1586866624704;19;0;2
1586866625141;1586866624705;19;0;3
1586866625181;1586866624705;18;0;5
1586866626023;1586866624705;18;0;5
1586866632665;1586866632448;19;0;4
1586866632810;1586866632450;19;0;3
1586866632865;1586866632448;9;0;6
1586866632904;1586866632449;19;0;2
1586866632940;1586866632449;19;0;5
1586866632979;1586866632449;19;0;5
1586866640897;1586866640552;18;0;4
1586866641055;1586866640555;19;0;3
1586866641104;1586866640551;9;0;6
1586866641136;1586866640552;19;0;2
1586866641162;1586866640555;19;0;3
1586866641192;1586866640553;19;0;5
1586866649019;1586866648702;19;0;4
1586866649177;1586866648705;19;0;3
1586866649231;1586866648702;9;0;6
1586866649270;1586866648703;19;0;2
1586866650164;1586866648703;18;0;5
1586866657780;1586866656969;8;0;6
1586866658441;1586866656970;18;0;4
1586866658680;1586866656975;18;0;3
1586866658751;1586866656971;17;0;2
1586866658782;1586866656972;18;0;5
1586866664938;1586866664552;19;0;4
1586866665059;1586866664552;10;0;6
1586866665077;1586866664552;19;0;2
1586866665099;1586866664553;19;0;3
1586866665962;1586866664553;19;0;5
1586866671610;1586866671238;19;0;4
1586866671774;1586866671240;19;0;3
1586866671829;1586866671239;9;0;6
1586866671875;1586866671238;19;0;2
1586866671932;1586866671239;19;0;5
1586866678692;1586866678274;19;0;4
1586866678878;1586866678274;10;0;6
1586866678921;1586866678275;19;0;2
1586866678954;1586866678274;19;0;9
1586866678987;1586866678273;18;0;8
1586866679022;1586866678273;17;0;3
1586866679897;1586866678274;10;0;6
1586866679945;1586866678276;19;0;5
1586866680811;1586866678276;19;0;5
1586866687659;1586866687176;19;0;4
1586866687825;1586866687177;18;0;3
1586866687870;1586866687175;9;0;6
1586866687919;1586866687175;19;0;8
1586866687958;1586866687177;19;0;9
1586866687992;1586866687176;18;0;2
1586866688869;1586866687177;19;0;5
1586866696582;1586866695654;9;0;6
1586866696611;1586866695653;18;0;8
1586866697239;1586866695655;18;0;4
1586866697508;1586866695656;18;0;2
1586866697621;1586866695660;18;0;3
1586866698413;1586866695657;18;0;5
1586866699209;1586866695658;18;0;9
1586866704862;1586866704299;19;0;4
1586866704934;1586866704297;19;0;3
1586866704981;1586866704298;19;0;8
1586866705002;1586866704300;19;0;5
1586866705029;1586866704299;19;0;2
1586866705074;1586866704298;8;0;6
1586866705705;1586866704298;18;0;9
1586866711502;1586866710927;19;0;4
1586866711675;1586866710929;19;0;3
1586866711734;1586866710927;10;0;6
1586866711788;1586866710926;19;0;8
1586866711815;1586866710928;19;0;9
1586866711843;1586866710927;19;0;2
1586866711885;1586866710927;10;0;6
1586866712649;1586866710927;10;0;6
1586866712722;1586866710928;19;0;5
1586866718041;1586866717531;19;0;4
1586866718189;1586866717532;19;0;3
1586866718227;1586866717531;10;0;6
1586866718265;1586866717531;19;0;8
1586866718293;1586866717532;19;0;9
1586866718332;1586866717531;19;0;2
1586866719217;1586866717531;10;0;6
1586866719269;1586866717532;19;0;5
1586866726501;1586866725833;19;0;4
1586866726673;1586866725835;19;0;3
1586866726718;1586866725832;8;0;6
1586866726765;1586866725832;19;0;8
1586866726799;1586866725834;19;0;9
1586866726829;1586866725833;19;0;2
1586866727697;1586866725834;19;0;5
1586866735421;1586866734758;7;0;6
