rec;send;queue;id_1;id_2;packet_id
1587486057653;1587486056500;19;0;2;1
1587486062871;1587486061489;19;0;2;2
1587486063061;1587486061489;19;0;5;1
1587486063184;1587486061489;19;0;3;1
1587486063252;1587486061490;19;0;4;1
1587486067820;1587486066509;19;0;6;1
1587486067889;1587486066507;19;0;7;1
1587486068067;1587486066510;19;0;2;3
1587486068204;1587486066509;19;0;5;2
1587486068353;1587486066510;19;0;3;2
1587486068386;1587486066510;19;0;4;2
1587486072948;1587486071670;19;0;6;2
1587486073012;1587486071670;19;0;2;4
1587486073205;1587486071668;18;0;7;2
1587486073410;1587486071669;19;0;5;3
1587486073537;1587486071669;19;0;8;1
1587486073605;1587486071670;19;0;4;3
1587486073746;1587486071669;19;0;3;3
1587486077204;1587486077168;19;0;5;4
1587486078647;1587486077169;19;0;6;3
1587486078705;1587486077166;19;0;7;3
1587486078761;1587486077167;19;0;9;1
1587486078944;1587486077168;19;0;2;5
1587486079234;1587486077169;19;0;8;2
1587486079293;1587486077168;19;0;4;4
1587486079437;1587486077168;19;0;3;4
1587486082954;1587486082900;19;0;4;5
1587486083019;1587486082900;19;0;5;5
1587486084504;1587486082901;19;0;6;4
1587486084585;1587486082900;19;0;2;6
1587486084650;1587486082900;19;0;9;2
1587486084719;1587486082901;19;0;10;1
1587486084866;1587486082898;18;0;7;4
1587486085131;1587486082901;19;0;8;3
1587486085281;1587486082900;19;0;3;5
1587486088634;1587486088562;19;0;4;6
1587486088708;1587486088561;19;0;5;6
1587486088788;1587486088563;19;0;12;1
1587486090217;1587486088560;19;0;13;1
1587486090300;1587486088562;19;0;6;5
1587486090382;1587486088560;19;0;7;5
1587486090440;1587486088561;19;0;9;3
1587486090518;1587486088561;19;0;11;1
1587486090592;1587486088562;19;0;10;2
1587486090683;1587486088561;19;0;2;7
1587486090943;1587486088562;19;0;8;4
1587486091109;1587486088561;19;0;3;6
1587486094445;1587486094410;18;0;7;6
1587486094506;1587486094413;19;0;12;2
1587486094609;1587486094410;18;0;15;1
1587486094678;1587486094412;19;0;4;7
1587486094754;1587486094411;19;0;5;7
1587486096260;1587486094414;19;0;14;1
1587486096341;1587486094410;18;0;13;2
1587486096446;1587486094412;19;0;2;8
1587486096519;1587486094411;19;0;9;4
1587486096597;1587486094411;19;0;11;2
1587486096656;1587486094413;19;0;10;3
1587486096963;1587486094412;19;0;8;5
1587486097120;1587486094412;19;0;3;7
1587486100697;1587486094412;19;0;6;6
1587486101373;1587486101247;19;0;7;7
1587486101665;1587486101244;18;0;5;8
1587486101756;1587486101245;18;0;12;3
1587486103263;1587486101241;19;0;14;2
1587486103430;1587486101243;19;0;17;1
1587486103515;1587486101243;19;0;2;9
1587486103578;1587486101241;19;0;9;5
1587486103652;1587486101242;19;0;11;3
1587486103709;1587486101241;17;0;13;3
1587486103786;1587486101246;19;0;10;4
1587486104115;1587486101243;19;0;8;6
1587486104167;1587486101244;18;0;4;8
1587486104317;1587486101242;19;0;3;8
1587486105550;1587486101243;19;0;17;1
1587486105607;1587486101245;19;0;16;1
1587486106198;1587486101242;15;0;15;2
1587486107492;1587486101243;19;0;17;1
1587486107862;1587486107766;19;0;5;9
1587486107917;1587486107765;19;0;7;8
1587486107974;1587486107767;19;0;12;4
1587486108077;1587486107765;18;0;15;3
1587486108144;1587486107767;19;0;4;9
1587486109742;1587486107768;19;0;14;3
1587486109819;1587486107764;18;0;13;4
1587486109887;1587486101243;19;0;17;1
1587486109973;1587486107766;19;0;2;10
1587486110034;1587486107768;19;0;9;6
1587486110107;1587486107766;19;0;11;4
1587486110178;1587486107765;19;0;18;1
1587486110273;1587486107767;19;0;10;5
1587486110594;1587486107767;19;0;8;7
1587486110766;1587486107766;19;0;3;9
1587486111984;1587486101243;19;0;17;1
1587486112056;1587486107766;19;0;11;4
1587486112162;1587486107768;19;0;16;2
1587486113806;1587486101243;19;0;17;1
1587486114120;1587486114056;18;0;7;9
1587486114225;1587486114059;19;0;5;10
1587486114296;1587486114061;19;0;12;5
1587486114399;1587486114056;19;0;15;4
1587486114451;1587486114060;19;0;4;10
1587486115984;1587486114062;19;0;14;4
1587486116076;1587486114056;19;0;18;2
1587486116148;1587486114057;19;0;19;1
1587486116231;1587486114062;19;0;20;1
1587486116303;1587486114058;19;0;9;7
1587486116376;1587486101243;19;0;17;1
1587486116441;1587486114055;18;0;13;5
1587486116504;1587486114057;19;0;11;5
1587486116597;1587486114061;19;0;10;6
1587486116940;1587486114060;19;0;8;8
1587486117072;1587486114059;19;0;3;10
1587486118376;1587486101243;19;0;17;1
1587486118441;1587486114061;19;0;16;3
1587486118524;1587486114060;19;0;2;11
1587486118648;1587486114057;19;0;11;5
1587486120337;1587486101243;19;0;17;1
1587486120588;1587486120557;19;0;14;5
1587486120661;1587486120555;18;0;7;10
1587486120755;1587486120556;19;0;5;11
1587486120914;1587486120555;19;0;15;5
1587486120981;1587486120557;19;0;4;11
1587486121081;1587486120557;18;0;12;6
1587486122543;1587486101243;19;0;17;1
1587486122630;1587486120555;19;0;18;3
1587486122716;1587486120555;19;0;19;2
1587486122788;1587486120556;19;0;2;12
1587486122851;1587486120556;19;0;9;8
1587486122932;1587486120554;18;0;13;6
1587486122989;1587486120556;19;0;11;6
1587486123074;1587486120557;19;0;10;7
1587486123197;1587486120557;19;0;20;2
1587486123445;1587486120557;19;0;8;9
1587486123606;1587486120556;19;0;3;11
1587486124828;1587486101243;19;0;17;1
1587486124921;1587486120557;19;0;16;4
1587486124977;1587486101244;18;0;6;7
1587486125051;1587486120556;19;0;11;6
1587486126774;1587486107765;18;0;17;2
1587486126865;1587486120556;19;0;11;6
1587486127147;1587486127094;19;0;7;11
1587486127228;1587486127097;19;0;14;6
1587486127364;1587486127095;19;0;5;12
1587486127443;1587486127096;19;0;12;7
1587486127536;1587486127094;19;0;15;6
1587486127606;1587486127096;19;0;4;12
1587486129083;1587486127095;17;0;17;5
1587486129172;1587486127093;18;0;13;7
1587486129249;1587486127097;19;0;19;3
1587486129345;1587486127096;19;0;2;13
1587486129403;1587486127097;19;0;16;5
1587486129467;1587486127095;16;0;6;11
1587486129526;1587486127095;19;0;9;9
1587486129595;1587486120556;19;0;11;6
1587486129688;1587486127093;19;0;18;4
1587486129797;1587486127097;19;0;20;3
1587486130047;1587486127096;19;0;8;10
1587486130231;1587486127095;19;0;3;12
1587486131511;1587486114057;17;0;17;3
1587486131592;1587486120556;19;0;11;6
1587486131647;1587486107766;17;0;6;8
1587486131785;1587486127096;19;0;10;8
1587486133514;1587486120555;16;0;17;4
1587486133633;1587486114058;16;0;6;9
1587486133718;1587486120556;19;0;11;6
1587486133906;1587486133825;19;0;7;12
1587486133986;1587486133828;19;0;14;7
1587486134140;1587486133826;19;0;5;13
1587486134212;1587486133827;19;0;12;8
1587486134301;1587486133825;19;0;15;7
1587486134378;1587486133826;19;0;4;13
1587486135767;1587486133825;19;0;17;6
1587486135863;1587486133824;18;0;13;8
1587486135943;1587486133828;19;0;19;4
1587486136050;1587486133827;19;0;20;4
1587486136120;1587486133827;19;0;16;6
1587486136178;1587486133826;18;0;6;12
1587486136253;1587486133825;19;0;9;10
1587486136319;1587486120556;19;0;11;6
1587486136395;1587486133824;19;0;18;5
1587486136676;1587486133827;19;0;8;11
1587486136824;1587486133826;19;0;3;13
1587486138143;1587486120556;19;0;11;6
1587486138209;1587486120556;15;0;6;10
1587486138265;1587486133826;19;0;2;14
1587486138338;1587486133827;19;0;10;9
1587486139974;1587486120556;19;0;11;6
1587486140175;1587486140118;19;0;14;8
1587486140238;1587486140118;18;0;13;9
1587486140344;1587486140112;19;0;7;13
1587486140520;1587486140114;19;0;5;14
1587486140601;1587486140117;19;0;12;9
1587486140702;1587486140112;19;0;15;8
1587486140797;1587486140115;19;0;4;14
1587486142159;1587486140114;19;0;17;7
1587486142273;1587486140114;19;0;9;11
1587486142346;1587486140113;19;0;19;5
1587486142452;1587486140117;19;0;20;5
1587486142514;1587486140117;19;0;16;7
1587486142589;1587486140116;19;0;6;13
1587486142654;1587486140112;19;0;18;6
1587486142711;1587486140113;17;0;11;9
1587486142788;1587486140116;19;0;10;10
1587486143084;1587486140116;19;0;8;12
1587486143244;1587486140115;19;0;3;14
1587486144503;1587486127094;18;0;11;7
1587486146321;1587486127094;18;0;11;7
1587486146406;1587486140115;19;0;2;15
1587486146482;1587486146453;18;0;13;10
1587486146570;1587486146453;19;0;14;9
1587486146632;1587486146451;19;0;18;7
1587486146756;1587486146453;19;0;7;14
1587486146922;1587486146452;19;0;5;15
1587486147009;1587486146453;19;0;12;10
1587486147088;1587486146451;19;0;15;9
1587486147150;1587486146452;19;0;4;15
1587486148619;1587486146452;19;0;17;8
1587486148701;1587486146452;19;0;9;12
1587486148785;1587486146451;19;0;19;6
1587486148869;1587486146453;19;0;20;6
1587486148937;1587486146453;19;0;16;8
1587486149026;1587486146451;18;0;11;10
1587486149094;1587486146453;19;0;10;11
1587486149410;1587486146453;19;0;8;13
1587486149576;1587486146452;19;0;3;15
1587486150776;1587486146452;19;0;17;8
1587486150869;1587486146451;18;0;11;10
1587486150939;1587486146452;19;0;6;14
1587486152659;1587486146451;18;0;11;10
1587486152741;1587486146452;19;0;2;16
1587486152798;1587486152771;18;0;13;11
1587486152890;1587486152771;19;0;14;10
1587486152957;1587486152767;19;0;18;8
1587486153119;1587486152771;19;0;7;15
1587486153284;1587486152769;19;0;5;16
1587486153373;1587486152770;19;0;12;11
1587486153472;1587486152767;19;0;15;10
1587486153542;1587486152769;19;0;4;16
1587486154605;1587486152768;19;0;17;9
1587486154717;1587486152769;19;0;9;13
1587486154792;1587486152768;19;0;19;7
1587486154876;1587486152770;19;0;20;7
1587486154958;1587486152770;19;0;16;9
1587486155046;1587486146451;18;0;11;10
1587486155129;1587486152770;19;0;10;12
1587486155469;1587486152770;19;0;8;14
1587486155651;1587486152769;19;0;3;16
1587486156889;1587486152768;19;0;17;9
1587486156972;1587486152768;17;0;11;11
1587486157148;1587486152769;19;0;6;15
1587486158936;1587486152768;17;0;11;11
1587486159023;1587486158968;19;0;14;11
1587486159133;1587486152768;19;0;2;17
1587486159194;1587486158968;18;0;13;12
1587486159281;1587486158964;19;0;19;8
1587486159332;1587486158967;19;0;10;13
1587486159388;1587486158965;19;0;9;14
1587486159467;1587486158967;19;0;18;9
1587486159533;1587486158964;18;0;7;16
1587486159643;1587486158966;19;0;5;17
1587486159711;1587486158967;19;0;12;12
1587486159815;1587486158966;19;0;4;17
1587486159920;1587486158964;18;0;15;11
1587486160816;1587486158965;19;0;17;10
1587486160917;1587486158965;17;0;11;12
1587486160994;1587486158966;19;0;6;16
